"","x","y"
"1",0.4,0.44
"2",0.4,0.44
"3",0.4,0.48
"4",0.4,0.52
"5",0.44,0.52
"6",0.48,0.52
"7",0.48,0.56
"8",0.52,0.56
"9",0.52,0.6
"10",0.52,0.64
"11",0.56,0.64
"12",0.56,0.68
"13",0.6,0.68
"14",0.64,0.68
"15",0.64,0.72
"16",0.68,0.72
"17",0.68,0.76
"18",0.72,0.76
"19",0.72,0.8
"20",0.76,0.8
"21",0.76,0.84
"22",0.8,0.84
"23",0.8,0.88
"24",0.84,0.88
"25",0.88,0.88
"26",0.88,0.92
"27",0.92,0.92
"28",0.92,0.96
"29",0.96,0.96
"30",0.96,1
"31",1,1
"32",1,1.04
"33",1.04,1.04
"34",1.04,1.08
"35",1.04,1.12
"36",1.08,1.12
"37",1.08,1.16
"38",1.08,1.2
"39",1.08,1.24
"40",1.08,1.2
"41",1.08,1.16
"42",1.08,1.12
"43",1.08,1.16
"44",1.04,1.16
"45",1,1.16
